Trace
Swept SA
A.08.55,N9000A
496690000,-89.5197093105615
496700000,-89.2917493043761
496710000,-89.3476037665818
496720000,-89.634278034555
496730000,-89.2697573289753
496740000,-89.6844687909983
496750000,-89.1370035354416
496760000,-89.6378457953446
496770000,-89.676556704857
496780000,-89.382714545673
496790000,-89.086344574651
496800000,-89.1861188523803
496810000,-89.0148176261742
496820000,-89.3854318795314
496830000,-89.0212117067443
496840000,-89.1288774073266
496850000,-88.8424782212337
496860000,-89.6310053176746
496870000,-89.4230696867574
496880000,-89.2427443772426
496890000,-89.2705887364765
496900000,-89.4820038772382
496910000,-88.7213114960248
496920000,-89.0247597035428
496930000,-89.732182642295
496940000,-89.0419363111067
496950000,-89.1536739639768
496960000,-89.0979966346742
496970000,-89.066409955162
496980000,-89.358336182909
496990000,-89.0517134475318
497000000,-88.8115044508895
497010000,-89.4809482066836
497020000,-88.6068541829736
497030000,-89.0138543130467
497040000,-89.167714041138
497050000,-89.25518581299
497060000,-89.0118986783135
497070000,-88.6104831122599
497080000,-88.6453667539863
497090000,-89.3525515678367
497100000,-88.5225427178713
497110000,-89.181761115321
497120000,-89.2323105448052
497130000,-89.2610900502785
497140000,-88.753359876485
497150000,-89.3137354418754
497160000,-89.1580723441793
497170000,-89.1957365305676
497180000,-88.9438168450824
497190000,-89.0667824584056
497200000,-89.1757713093767
497210000,-89.45029494421
497220000,-88.7511659016472
497230000,-89.4854420162743
497240000,-89.2637696557317
497250000,-88.9744219435671
497260000,-89.4127331272182
497270000,-89.1129084224857
497280000,-89.5534355874273
497290000,-89.0399775589858
497300000,-88.481332110788
497310000,-89.0505347618839
497320000,-89.2557292106913
497330000,-88.7464058871309
497340000,-89.3618645884163
497350000,-89.3777606644629
497360000,-89.0791144646195
497370000,-88.7481661595991
497380000,-89.1936728518055
497390000,-89.2064119064842
497400000,-89.1728274599341
497410000,-89.2512239753568
497420000,-88.9181889225122
497430000,-88.8398314386904
497440000,-88.777847772065
497450000,-88.7941437285198
497460000,-89.2816149230684
497470000,-89.3866407671125
497480000,-88.6785973297361
497490000,-88.8824403341459
497500000,-89.1099846190759
497510000,-89.701831962693
497520000,-89.4068332260333
497530000,-89.5750014913956
497540000,-88.7294597547503
497550000,-89.3484004115402
497560000,-89.1211799206734
497570000,-89.0748300616592
497580000,-88.9957719178462
497590000,-88.5735791417465
497600000,-89.3370073840074
497610000,-88.7789056040248
497620000,-88.9045822384348
497630000,-88.7865281696063
497640000,-89.1353977078951
497650000,-88.9183238954596
497660000,-89.0087789548766
497670000,-89.7889037333365
497680000,-89.1295796434845
497690000,-89.8645742553672
