Trace
Swept SA
A.08.55,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,0.0102
Start Frequency,495000000
Stop Frequency,505000000
Average Count,0
Average Type,Power(RMS)
RBW,100000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
495000000,-89.5904197995839
495010000,-89.4790444390947
495020000,-89.4494075739878
495030000,-88.9995148400872
495040000,-89.5294755345323
495050000,-89.0113545555745
495060000,-89.3877700302676
495070000,-88.8349159232481
495080000,-89.0381700562897
495090000,-89.3529278239686
495100000,-89.0050436374465
495110000,-89.4016475280066
495120000,-89.3250572092585
495130000,-89.935589754618
495140000,-89.0305640203269
495150000,-88.564192617554
495160000,-89.4085322063771
495170000,-89.4864246216674
495180000,-89.1339087179683
495190000,-88.4604312291163
495200000,-89.0213949615151
495210000,-89.5546086111526
495220000,-88.5599201143302
495230000,-89.3328770103628
495240000,-89.0386391273457
495250000,-89.0036294561368
495260000,-88.9674905091944
495270000,-88.5852063571832
495280000,-89.2640798410544
495290000,-89.4204433760557
495300000,-89.4122604817513
495310000,-89.039420619016
495320000,-89.6152604410345
495330000,-89.3453379636461
495340000,-89.2123765282983
495350000,-89.1059324251908
495360000,-89.2850417929556
495370000,-88.8809167081078
495380000,-89.2589202834357
495390000,-89.0016580659139
495400000,-88.9701970330381
495410000,-89.0299113637813
495420000,-89.2943904061773
495430000,-89.3851693171553
495440000,-89.1375656629834
495450000,-89.0917821165348
495460000,-88.8475162155446
495470000,-89.2398757940846
495480000,-89.1128160855266
495490000,-89.2351245651143
495500000,-89.6802420598362
495510000,-89.0687895444699
495520000,-88.8900123868509
495530000,-89.3985716971547
495540000,-89.0437728755079
495550000,-88.8323685656532
495560000,-89.05010407356
495570000,-89.5035166520262
495580000,-89.366713440693
495590000,-89.0569310243323
495600000,-89.4190176946457
495610000,-89.1239338834281
495620000,-89.2433474896505
495630000,-89.2299838383902
495640000,-89.2005616511926
495650000,-89.7888706823756
495660000,-89.5169211307112
495670000,-89.2040964659583
495680000,-89.0751830555355
495690000,-89.4354608747352
495700000,-89.0291652455028
495710000,-88.8010714196464
495720000,-88.5850451696286
495730000,-88.8898075040825
495740000,-88.6906458654505
495750000,-89.3974988269343
495760000,-88.8344279683135
495770000,-89.5806712173247
495780000,-89.6118448938573
495790000,-88.7717510598969
495800000,-89.6345084273597
495810000,-89.0611362046571
495820000,-88.7973887902111
495830000,-88.6856630530612
495840000,-89.3942582871816
495850000,-88.9398318338332
495860000,-89.0481030821371
495870000,-89.0234575737161
495880000,-89.0125810088949
495890000,-88.5170162195389
495900000,-89.2413553408489
495910000,-89.5766742943589
495920000,-89.1510292205131
495930000,-89.0617487548866
495940000,-89.3794204122951
495950000,-89.3870309481117
495960000,-88.965626071616
495970000,-88.9564404883579
495980000,-89.0999961279675
495990000,-88.8415170956659
496000000,-88.7341401381901
496010000,-88.8287437861874
496020000,-88.6900052718302
496030000,-88.854955346697
496040000,-89.3483359552646
496050000,-89.2887735226539
496060000,-89.0958488729975
496070000,-88.9976704260127
496080000,-89.3461255767162
496090000,-88.9553739060887
496100000,-89.1593290318624
496110000,-88.9043022639006
496120000,-88.7959318113824
496130000,-89.0811920860577
496140000,-89.187262919415
496150000,-89.1373830445665
496160000,-88.7359025348803
496170000,-89.2436572084871
496180000,-88.6904638285776
496190000,-89.0799747835706
496200000,-89.4801090038374
496210000,-89.4253378230134
496220000,-88.9003233491846
496230000,-88.4782768767164
496240000,-89.4100262750877
496250000,-89.229338503618
496260000,-88.9389701630154
496270000,-89.6109415585601
496280000,-89.5172150420894
496290000,-88.8331785359392
496300000,-89.2715088918927
496310000,-89.5925284193665
496320000,-89.2527038300256
496330000,-89.2585267805988
496340000,-89.4974260233252
496350000,-89.241773985581
496360000,-89.4253814189537
496370000,-89.013930911998
496380000,-89.177104732712
496390000,-89.0613506405055
496400000,-89.1585499209549
496410000,-89.6002032046848
496420000,-89.1150855935948
496430000,-89.1648235957378
496440000,-89.7792526659381
496450000,-88.9330940002638
496460000,-89.6104956952274
496470000,-88.8044020603423
496480000,-88.7995298253288
496490000,-89.6805705890726
496500000,-89.5561571915192
496510000,-89.5121049513388
496520000,-89.2285819690019
496530000,-89.0760226173728
496540000,-88.6342512931961
496550000,-88.6155224492424
496560000,-88.7175912881183
496570000,-89.2042236426531
496580000,-89.3596058361498
496590000,-89.5034711403208
496600000,-89.6948741188142
496610000,-89.0156211535395
496620000,-88.4332476088342
496630000,-88.9716044508057
496640000,-88.9697642974792
496650000,-88.5480209595093
496660000,-88.9931234804029
496670000,-88.9975320161178
496680000,-88.7642983121124
