Trace
Swept SA
A.08.55,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,0.4054666666
Start Frequency,498000000
Stop Frequency,502000000
Average Count,0
Average Type,Power(RMS)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,1000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
498000000,-99.3261965123753
498004000,-99.2003126621391
498008000,-99.583902575996
498012000,-99.2770909970463
498016000,-99.2317225912744
498020000,-98.687779096195
498024000,-98.6683065099659
498028000,-98.9271535814405
498032000,-99.0378113670133
498036000,-99.3493459373968
498040000,-99.8575170044293
498044000,-99.213798556362
498048000,-99.4161692505632
498052000,-99.0757962033002
498056000,-99.3619540620443
498060000,-98.965874987979
498064000,-99.2304210206061
498068000,-99.3902683663452
498072000,-99.226593632196
498076000,-99.3509334473568
498080000,-98.960525327997
498084000,-99.0179605489558
498088000,-98.80366343004
498092000,-98.7379138414977
498096000,-98.3987393286762
498100000,-98.6897242570364
498104000,-98.999613403838
498108000,-98.813548225656
498112000,-98.6767581821108
498116000,-99.2388193965411
498120000,-98.9828517964137
498124000,-99.0378947413659
498128000,-99.0162007542612
498132000,-99.2381648726101
498136000,-98.9163291106663
498140000,-98.8708482029549
498144000,-99.0566872051132
498148000,-99.0208984285514
498152000,-99.2723593468743
498156000,-99.1645426769647
498160000,-98.9162258749541
498164000,-98.9057392534267
498168000,-98.4328406080561
498172000,-98.5592527165247
498176000,-99.3544043418279
498180000,-98.8532387141959
498184000,-98.9081979467147
498188000,-99.0785423257846
498192000,-98.7593073178525
498196000,-99.0174344771626
498200000,-99.1416567051972
498204000,-99.0441701907579
498208000,-98.7809531139567
498212000,-99.1834124126764
498216000,-99.1397504889608
498220000,-99.193530875817
498224000,-98.9641738343675
498228000,-98.9416146802033
498232000,-99.3334228335514
498236000,-99.2162569389905
498240000,-98.9428339600217
498244000,-98.8317496488622
498248000,-99.0195842277833
498252000,-99.4282108101599
498256000,-99.0058223509083
498260000,-99.2189445606519
498264000,-99.2144137768443
498268000,-99.0431623303665
498272000,-98.8263083752023
498276000,-99.0652925285923
498280000,-99.0684508318811
498284000,-98.9533085808166
498288000,-99.2446852429332
498292000,-98.8448912090796
498296000,-98.5811130511149
498300000,-98.8546906858053
498304000,-99.0186036238133
498308000,-99.4877477631833
498312000,-99.4396006966891
498316000,-99.4796797438928
498320000,-99.1821304932613
498324000,-99.5230772216036
498328000,-98.9916449349037
498332000,-98.6679538677521
498336000,-99.1423685483286
498340000,-99.0746609936155
498344000,-99.3422937264786
498348000,-98.9899473447819
498352000,-99.1081803053029
498356000,-98.7550736179365
498360000,-98.988086735223
498364000,-99.0464681423173
498368000,-98.8272906927885
498372000,-98.8345457060705
498376000,-98.9484297989479
498380000,-99.3488445185649
498384000,-99.3937340386083
498388000,-99.0032963202034
498392000,-98.8437235996183
498396000,-99.4757545251749
498400000,-98.9787042595288
498404000,-99.0916400219924
498408000,-98.9455102720763
498412000,-99.1346004220466
498416000,-98.7107088404469
498420000,-99.0865278884966
498424000,-99.2904639903077
498428000,-99.1167808412271
498432000,-99.0193510750659
498436000,-99.3077522641835
498440000,-98.9170783973417
498444000,-98.6486995974707
498448000,-98.6846716191497
498452000,-98.9747980866998
498456000,-99.2814218456668
498460000,-98.9865647955818
498464000,-98.886261484904
498468000,-98.9147718467421
498472000,-98.9639582749313
498476000,-98.8091454755747
498480000,-98.8648572698099
498484000,-99.0408662743768
498488000,-99.2373010000586
498492000,-99.2573497867958
498496000,-99.5520679688942
498500000,-98.931803767501
498504000,-98.9785798223976
498508000,-98.9262903053908
498512000,-98.866229907363
498516000,-99.154260126908
498520000,-99.0346083440433
498524000,-98.8937015321701
498528000,-98.9729674530247
498532000,-98.4622741360086
498536000,-99.1444362568402
498540000,-99.026240250115
498544000,-98.8292294260547
498548000,-98.5284620930624
498552000,-98.6058468698524
498556000,-98.6231694494507
498560000,-99.0645426763238
498564000,-99.0483608596784
498568000,-98.8707077803128
498572000,-98.6949762067571
498576000,-98.9305063310636
498580000,-98.8890735725818
498584000,-98.9750579636537
498588000,-98.8544444528527
498592000,-99.0402611347071
498596000,-98.740124600885
498600000,-98.9421431789918
498604000,-98.9004352510333
498608000,-98.8668132214747
498612000,-99.4561853239709
498616000,-99.0659461767524
498620000,-99.0604187959337
498624000,-98.7966121506652
498628000,-98.7536511518107
498632000,-98.7496660660002
498636000,-98.7550942849917
498640000,-99.168286216951
498644000,-99.2451384489619
498648000,-98.804255849892
498652000,-98.6849870862771
498656000,-99.1188041862263
498660000,-99.097629445002
498664000,-99.1039696088993
498668000,-98.7658732601597
498672000,-98.64872460109
