Trace
Swept SA
A.08.55,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,0.4054666666
Start Frequency,498000000
Stop Frequency,502000000
Average Count,0
Average Type,Power(RMS)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,1000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
498000000,-99.4009621395765
498004000,-99.0602205401085
498008000,-99.3986585474345
498012000,-99.1480050539549
498016000,-99.3363958044021
498020000,-99.5300861304562
498024000,-99.4755363384485
498028000,-99.2363995264837
498032000,-98.8468901382998
498036000,-99.4930645245563
498040000,-99.2708604720407
498044000,-99.1911116238852
498048000,-99.7697805114776
498052000,-99.6656508416235
498056000,-99.0546906484034
498060000,-99.2154434567005
498064000,-99.0173714508558
498068000,-99.5575285970738
498072000,-99.3448337244975
498076000,-99.3808394254074
498080000,-98.817321122124
498084000,-99.4308321426342
498088000,-99.4601395940845
498092000,-99.2752810431263
498096000,-99.5517516182484
498100000,-99.0647985184528
498104000,-99.4275447317163
498108000,-99.6707582715844
498112000,-99.4312641757855
498116000,-99.3546108003169
498120000,-99.281633536995
498124000,-99.5216292735083
498128000,-99.6754885277717
498132000,-99.5151337662651
498136000,-99.1619418933579
498140000,-99.1245598701349
498144000,-99.237957583409
498148000,-99.1296399207951
498152000,-98.9781813862058
498156000,-99.438031306419
498160000,-99.214376510167
498164000,-99.7343540171961
498168000,-98.9983477057671
498172000,-98.7318517662784
498176000,-99.2662130391714
498180000,-98.9660866551665
498184000,-99.4796903222669
498188000,-99.3821390316379
498192000,-99.0746931438049
498196000,-99.6060498606056
498200000,-99.11491042581
498204000,-98.5671730498859
498208000,-99.3968894600611
498212000,-98.9724832002651
498216000,-99.6318467707304
498220000,-99.1433244089005
498224000,-99.1375945021402
498228000,-99.0537166697914
498232000,-98.9639831528571
498236000,-98.762537707588
498240000,-99.0698664390754
498244000,-99.2029150916652
498248000,-98.7997265942944
498252000,-99.3917219136573
498256000,-99.1820652900909
498260000,-99.0075799969868
498264000,-99.0293901437095
498268000,-98.9643088787423
498272000,-99.0837795813626
498276000,-99.5045211346373
498280000,-99.1772672003128
498284000,-99.4355061675902
498288000,-99.2289176907978
498292000,-99.1138831830529
498296000,-99.4199758259135
498300000,-99.3302497324979
498304000,-99.1288577471525
498308000,-99.2948251992152
498312000,-98.6602848526912
498316000,-99.0876465519253
498320000,-99.3982614003471
498324000,-98.9262800404968
498328000,-99.4256423468497
498332000,-99.48923365015
498336000,-99.2780343373754
498340000,-98.9342678674917
498344000,-99.4658617020571
498348000,-98.8534774358668
498352000,-99.6544620344455
498356000,-99.3154628462999
498360000,-99.1807982775392
498364000,-98.9491323213964
498368000,-98.9440041957771
498372000,-99.3558825343417
498376000,-98.8038030569951
498380000,-99.1327891485682
498384000,-98.9926897882236
498388000,-99.3435534781934
498392000,-99.2211929369133
498396000,-99.3726424305425
498400000,-99.2252724104926
498404000,-99.6855865270611
498408000,-99.2955479000939
498412000,-99.1798225057375
498416000,-99.2217789532885
498420000,-99.0272199084046
498424000,-99.5764307407676
498428000,-99.5542623001552
498432000,-99.2785276788843
498436000,-98.8913250296723
498440000,-99.2564519274784
498444000,-98.9387655578642
498448000,-98.7736200964938
498452000,-98.9529616881966
498456000,-99.1900125106247
498460000,-99.367975181182
498464000,-99.0320437682862
498468000,-99.361497098823
498472000,-99.2579644098651
498476000,-98.9324662437456
498480000,-99.0910236717766
498484000,-99.1666632769564
498488000,-99.0541133827682
498492000,-99.0369588454816
498496000,-99.7423539521399
498500000,-99.2456375263739
498504000,-99.0766998434499
498508000,-99.1258604715318
498512000,-98.9482115491639
498516000,-99.1578332907651
498520000,-99.042393708695
498524000,-99.0931497597781
498528000,-99.2579849714208
498532000,-98.9834915939758
498536000,-99.1324657468723
498540000,-99.2301018364492
498544000,-99.2963248626027
498548000,-98.7796079252079
498552000,-99.2735719286373
498556000,-99.4840305759072
498560000,-99.1751714693993
498564000,-98.8256713266106
498568000,-99.6434113621452
498572000,-98.9336082125806
498576000,-98.8255952914584
498580000,-99.3212996139376
498584000,-99.4094053846394
498588000,-98.8315139408714
498592000,-99.4622426401065
498596000,-99.1688414172784
498600000,-99.7735849307777
498604000,-99.6599260935533
498608000,-99.3649462469989
498612000,-99.2781868061146
498616000,-99.4469375231977
498620000,-99.2729153647058
498624000,-99.2545038623842
498628000,-99.2260087003363
498632000,-99.3755391986025
498636000,-99.3272807820821
498640000,-99.7477172415553
498644000,-99.3960998065914
498648000,-99.1486561909733
498652000,-99.3328530045831
498656000,-99.6950806419658
498660000,-99.0341828244257
498664000,-98.9334259715679
498668000,-99.3197442892873
