Trace
Swept SA
A.08.55,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,0.0102
Start Frequency,495000000
Stop Frequency,505000000
Average Count,0
Average Type,Power(RMS)
RBW,100000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
495000000,-89.0682894986624
495010000,-89.1236151412438
495020000,-89.1026137888495
495030000,-89.1916689518629
495040000,-89.4351438521929
495050000,-89.0718065755915
495060000,-88.5630566451754
495070000,-89.0143110894453
495080000,-89.5171769150776
495090000,-89.1983061517383
495100000,-89.0969469512462
495110000,-89.1013767567412
495120000,-89.3318523704491
495130000,-89.5447437503766
495140000,-89.4658043909919
495150000,-89.1466475772851
495160000,-89.2921282284123
495170000,-88.5088105921013
495180000,-88.8856762136252
495190000,-89.0094248343519
495200000,-89.608435463358
495210000,-89.8390834832099
495220000,-88.8837815357727
495230000,-89.5178980924419
495240000,-89.0001103855637
495250000,-89.0622220874297
495260000,-89.6005282876058
495270000,-89.731529871946
495280000,-89.2734256933416
495290000,-89.1684362205501
495300000,-89.826034194369
495310000,-89.0610886793217
495320000,-89.1534363665069
495330000,-89.5396545283882
495340000,-89.0483558777796
495350000,-89.1136606545185
495360000,-89.2623847163195
495370000,-89.5903685671351
495380000,-89.7970207137096
495390000,-89.4164227533665
495400000,-89.0558778732891
495410000,-88.4041537487454
495420000,-89.133876135288
495430000,-88.6421412110519
495440000,-89.2036206913886
495450000,-88.9073292560059
495460000,-89.031192889266
495470000,-89.6768455654709
495480000,-89.3656233671442
495490000,-89.4690891704856
495500000,-88.7507185214283
495510000,-89.4114324841585
495520000,-89.2493195588071
495530000,-89.4430203699679
495540000,-89.3343107915886
495550000,-89.2812777607737
495560000,-89.010142800635
495570000,-88.9013974315191
495580000,-89.3319392286452
495590000,-89.5368879277672
495600000,-89.2086505273697
495610000,-89.0868807054785
495620000,-89.2023068066336
495630000,-89.0158367282034
495640000,-89.0241963966953
495650000,-89.3198429596658
495660000,-89.0059929538425
495670000,-89.0758791992978
495680000,-89.3456028691666
495690000,-89.2738921822676
495700000,-88.9979725685139
495710000,-88.6500226464284
495720000,-89.2145173273515
495730000,-88.960137277366
495740000,-89.3879165511343
495750000,-89.4361398284406
495760000,-88.6763845802129
495770000,-89.1195190061239
495780000,-89.0620470570129
495790000,-89.3079351794026
495800000,-88.9788129750725
495810000,-88.7473213038254
495820000,-89.0027297250276
495830000,-89.2374684152047
495840000,-89.3372220240153
495850000,-89.4179782619098
495860000,-88.8524020167859
495870000,-89.2290111505131
495880000,-88.767380395637
495890000,-89.2657586644045
495900000,-89.4365342147295
495910000,-88.9971977427341
495920000,-88.9371133027453
495930000,-89.3533546490469
495940000,-88.880969433196
495950000,-89.7191086207737
495960000,-89.5484985802279
495970000,-88.5108999764341
495980000,-88.8990035539124
495990000,-89.4531599025631
496000000,-89.5228504549218
496010000,-89.2173549952306
496020000,-89.5295455508004
496030000,-89.3155452310129
496040000,-89.2683239557781
496050000,-89.0380148102297
496060000,-89.3923073052582
496070000,-88.8470299018628
496080000,-89.0845395067253
496090000,-89.547589556477
496100000,-89.3212624656777
496110000,-89.6121384694376
496120000,-89.4556467268272
496130000,-89.3979121133701
496140000,-89.1942092224729
496150000,-88.9285924408246
496160000,-89.0721654695524
496170000,-89.3642417919405
496180000,-89.4460113503016
496190000,-88.8359761464261
496200000,-88.6988682093504
496210000,-88.8445279648887
496220000,-88.779179266176
496230000,-88.793205217267
496240000,-89.0539272359674
496250000,-89.2425567228591
496260000,-88.663376960452
496270000,-88.5901339689133
496280000,-88.7867907332526
496290000,-89.0959244867274
496300000,-89.7603470178105
496310000,-88.7845246010835
496320000,-89.3817323267143
496330000,-89.3313685415759
496340000,-89.0744764818031
496350000,-89.5272121663772
496360000,-89.3504293546766
496370000,-89.5086678122867
496380000,-89.4940522298128
496390000,-89.0794968457137
496400000,-88.6173744190731
496410000,-89.2425320594891
496420000,-89.4898135785295
496430000,-88.9360003905276
496440000,-88.9601673635224
496450000,-89.2026560246934
496460000,-88.9123588902261
496470000,-89.1193683319814
496480000,-89.5795631351943
496490000,-89.2378522315388
496500000,-89.5800102923746
496510000,-89.0245760779478
496520000,-89.290974628841
496530000,-89.1215126827166
496540000,-88.9651959926772
496550000,-89.4025093628174
496560000,-89.3258545041188
496570000,-88.8790294641534
496580000,-89.1329361530074
496590000,-89.1121751416002
496600000,-89.2425135619398
496610000,-88.8673109358332
496620000,-89.0243120901232
496630000,-89.1835080626197
496640000,-89.5245859619054
496650000,-89.5174858671711
496660000,-88.806509566216
496670000,-88.4778869401395
496680000,-88.4580101499077
