Trace
Swept SA
A.08.55,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,0.0102
Start Frequency,495000000
Stop Frequency,505000000
Average Count,0
Average Type,Power(RMS)
RBW,100000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
495000000,-88.932404950408
495010000,-89.2490261503057
495020000,-88.5447577178544
495030000,-89.2983220212735
495040000,-88.9565382669892
495050000,-89.415503510512
495060000,-89.8884229090874
495070000,-89.254238249487
495080000,-89.621827022056
495090000,-88.4635600269881
495100000,-89.5075232467511
495110000,-89.1009251463151
495120000,-89.9566695055896
495130000,-89.4353726352787
495140000,-88.990457962436
495150000,-88.3723669797506
495160000,-89.0032335790203
495170000,-88.9817435911511
495180000,-88.9442887687744
495190000,-88.9202635878212
495200000,-88.8473410003357
495210000,-89.4273061240846
495220000,-89.4104872895808
495230000,-89.1568224234925
495240000,-88.5128849598969
495250000,-89.4979680555958
495260000,-89.0809141736776
495270000,-88.8777701754223
495280000,-88.7626772161757
495290000,-88.7510086660819
495300000,-88.370472536434
495310000,-89.3605679986847
495320000,-89.1407015358907
495330000,-88.366807904498
495340000,-88.5214634196089
495350000,-88.5319534892285
495360000,-87.9540102250059
495370000,-89.6019799895786
495380000,-89.5236019514222
495390000,-89.3326808385488
495400000,-88.5967142137239
495410000,-88.918453610758
495420000,-89.1416342234642
495430000,-88.9917705544459
495440000,-89.2284805416717
495450000,-89.566528730401
495460000,-89.0317813101357
495470000,-89.0973484239345
495480000,-88.8562433205904
495490000,-89.3845318072489
495500000,-89.670346749469
495510000,-89.2729001135517
495520000,-89.4963050147996
495530000,-90.0085891484639
495540000,-88.1570520808118
495550000,-88.9560147625631
495560000,-88.4077851803303
495570000,-88.92473114534
495580000,-89.0118595645243
495590000,-89.6912457778761
495600000,-89.2785955973252
495610000,-89.6688446243288
495620000,-88.9326682527907
495630000,-89.7292525139441
495640000,-90.1917236532731
495650000,-90.0624040558779
495660000,-89.1233545702328
495670000,-88.6233998394628
495680000,-88.6394436679855
495690000,-89.4008386279421
495700000,-88.4629350604232
495710000,-88.4854538046536
495720000,-87.961252411562
495730000,-88.3755000780576
495740000,-89.1081811771636
495750000,-89.1213097058294
495760000,-88.8188500964734
495770000,-88.9932775978416
495780000,-88.9303432527618
495790000,-88.229430454022
495800000,-89.6042352905854
495810000,-89.0611240041005
495820000,-89.401125222124
495830000,-89.2532494552331
495840000,-88.9770006994654
495850000,-88.5627379817045
495860000,-89.3625380126355
495870000,-88.6273189464557
495880000,-88.0992883356023
495890000,-89.307637266735
495900000,-89.0442450161095
495910000,-88.7349571513312
495920000,-89.0201261700143
495930000,-88.3413367542335
495940000,-88.4483042968984
495950000,-88.9042160010166
495960000,-90.0055198493033
495970000,-88.6057044139559
495980000,-88.2377841391145
495990000,-88.8934771154818
496000000,-89.2536938872181
496010000,-89.1958303325268
496020000,-89.2944175058065
496030000,-88.4978019736468
496040000,-88.74163210183
496050000,-88.2159986943906
496060000,-89.2614624926557
496070000,-89.6320251519817
496080000,-88.9954455752925
496090000,-89.007091558112
496100000,-89.2068085231428
496110000,-88.6053463936447
496120000,-89.6326520527119
496130000,-88.9929572740029
496140000,-88.3089810976554
496150000,-88.637795899062
496160000,-89.3434240812461
496170000,-89.8769325182163
496180000,-89.5156771737551
496190000,-89.1257146436305
496200000,-88.7364517592584
496210000,-88.9619652492977
496220000,-89.3618745461897
496230000,-89.1037513035005
496240000,-88.4829258418949
496250000,-89.0510367224025
496260000,-88.8554477603094
496270000,-88.7462968934057
496280000,-89.2595773977667
496290000,-89.2921665492301
496300000,-88.7502844397997
496310000,-88.7606312290045
496320000,-89.6626471637693
496330000,-88.5548198567624
496340000,-88.8078725281205
496350000,-88.8318405774053
496360000,-88.7208079703161
496370000,-89.2702998224838
496380000,-88.9030441983498
496390000,-88.9111458680438
496400000,-88.1783443424178
496410000,-89.4006821685826
496420000,-89.3352756257424
496430000,-88.6533866350755
496440000,-89.3408310031651
496450000,-89.8313641666273
496460000,-89.8039370855597
496470000,-89.4783456614044
496480000,-89.0048914786984
496490000,-88.8198201469516
496500000,-89.117018520944
496510000,-88.8411398541886
496520000,-89.3592697563993
496530000,-88.8771198746952
496540000,-89.2667286618637
496550000,-89.288922943043
496560000,-89.4872200314985
496570000,-88.6578509442207
496580000,-89.0808811694761
496590000,-89.0722755472888
496600000,-88.4627995246565
496610000,-88.4319576256789
496620000,-88.7284850782698
496630000,-89.1804333366942
496640000,-88.3587661679097
496650000,-89.8558370544799
496660000,-88.9009072099398
496670000,-89.1441178779323
496680000,-88.8382424218555
