Trace
Swept SA
A.08.55,N9000A
498676000,-99.159327658414
498680000,-99.0912873514743
498684000,-99.2670092758924
498688000,-99.5682831317713
498692000,-99.5384564238763
498696000,-98.9760862769725
498700000,-99.2758832522296
498704000,-99.3288356476458
498708000,-99.5820313357221
498712000,-99.4732340736616
498716000,-99.0092423044501
498720000,-99.1301704808203
498724000,-99.4205465709726
498728000,-99.5465819204812
498732000,-99.1284133753714
498736000,-98.9609544275608
498740000,-99.2793074522412
498744000,-99.3817942793054
498748000,-99.1884727705689
498752000,-99.2288556896151
498756000,-99.3357028590295
498760000,-99.0193963819229
498764000,-99.6095707472519
498768000,-99.4529026156901
498772000,-99.6633522688449
498776000,-99.2107450591434
498780000,-99.2571552478161
498784000,-99.3249432332156
498788000,-99.232096649339
498792000,-99.2606687648981
498796000,-99.2149544059814
498800000,-99.1906079622457
498804000,-99.2069829760871
498808000,-99.4068128539222
498812000,-99.1813610726966
498816000,-99.3864307056104
498820000,-99.0728198447939
498824000,-99.2259106543695
498828000,-99.3914212718753
498832000,-99.4962604988319
498836000,-99.0581655005347
498840000,-98.9806735363522
498844000,-99.3648238509919
498848000,-99.5142987666615
498852000,-99.2467449930323
498856000,-99.2695574441521
498860000,-98.9582896858744
498864000,-99.3095799788999
498868000,-98.7769397080498
498872000,-99.2691242888336
498876000,-99.2366548934013
498880000,-99.3600965351961
498884000,-99.2113066132762
498888000,-99.0374338592828
498892000,-98.4715780359582
498896000,-98.9884063036874
498900000,-99.3426372839537
498904000,-99.3651335363685
498908000,-98.9499366569585
498912000,-99.6244129866256
498916000,-99.59821684062
498920000,-99.3537261588632
498924000,-99.3949269337783
498928000,-98.9922812468704
498932000,-99.2579253613698
498936000,-99.1757867303496
498940000,-99.4623122444531
498944000,-99.3725939067494
498948000,-99.0611542062418
498952000,-99.1202519706961
498956000,-99.0271676275999
498960000,-99.0135360655354
498964000,-99.6970527988827
498968000,-99.0730371184635
498972000,-99.094683817873
498976000,-99.0126497998279
498980000,-99.4842050661372
498984000,-99.8592383238066
498988000,-99.4816916573271
498992000,-99.4815069441387
498996000,-99.349837182813
499000000,-99.17335381677
499004000,-99.3812765028799
499008000,-99.3872263395445
499012000,-99.1450004383748
499016000,-98.9393080195487
499020000,-99.2264390382898
499024000,-99.4438590358664
499028000,-99.5444567934114
499032000,-98.8965877712801
499036000,-99.1938213165319
499040000,-99.5650708053698
499044000,-99.4668035711113
499048000,-98.8817747567768
499052000,-99.411399855158
499056000,-99.3593764263935
499060000,-99.3009683071213
499064000,-99.4238166393824
499068000,-99.8015112528733
499072000,-99.3845127314954
499076000,-99.2309221643243
499080000,-98.9331850935444
499084000,-98.9439278805458
499088000,-99.2018649573866
499092000,-99.4214789989628
499096000,-99.403138778183
499100000,-99.5152054222332
499104000,-99.4949739834213
499108000,-99.0251584446268
499112000,-99.2575267299938
499116000,-99.5131389619256
499120000,-99.786673655668
499124000,-99.1919002606094
499128000,-99.4202987736487
499132000,-99.2011444221861
499136000,-99.4137183840923
499140000,-99.1153926249174
499144000,-99.3066412135544
499148000,-99.3753423768135
499152000,-99.3699786324437
499156000,-99.3880239873981
499160000,-99.3006599461988
499164000,-99.1212804894069
499168000,-99.694529419124
499172000,-99.3730243110885
499176000,-99.1583197681825
499180000,-99.3116316966
499184000,-98.8276640019718
499188000,-99.3665560577243
499192000,-98.9097039660378
499196000,-99.0553436181675
499200000,-99.4129087767496
499204000,-99.1955389996644
499208000,-98.9588537777147
499212000,-99.102691150544
499216000,-99.4214517982701
499220000,-99.5874000302839
499224000,-99.3138874377316
499228000,-99.4831695055668
499232000,-99.249495676792
499236000,-98.9748225794397
499240000,-99.0312681080374
499244000,-99.1866916440789
499248000,-99.2510116970025
499252000,-99.3055468261447
499256000,-99.3118696391525
499260000,-98.8260946795434
499264000,-99.8305229596863
499268000,-99.3735505161681
499272000,-99.2732226118997
499276000,-99.2134618027441
499280000,-99.3200230898626
499284000,-99.638203141988
499288000,-99.3668822482193
499292000,-99.0837879563775
499296000,-99.1299551425994
499300000,-99.1968288080386
499304000,-99.0083163741927
499308000,-99.3464758537592
499312000,-99.7861876599234
499316000,-99.5042638067819
499320000,-99.0951775673724
499324000,-98.7270935985863
499328000,-99.108424962121
