Trace
Swept SA
A.08.55,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,0.4054666666
Start Frequency,498000000
Stop Frequency,502000000
Average Count,0
Average Type,Power(RMS)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,1000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
498000000,-99.1742255573001
498004000,-98.9440502872815
498008000,-98.8753252317289
498012000,-99.0646053731806
498016000,-99.4119564902157
498020000,-99.3929159382899
498024000,-99.1137380655083
498028000,-99.3628333595549
498032000,-99.3217831431046
498036000,-99.4049854760449
498040000,-99.1257201955747
498044000,-99.2635375870684
498048000,-99.5436873912947
498052000,-99.6878600444906
498056000,-99.16375407181
498060000,-99.0665727316021
498064000,-99.1403689910543
498068000,-99.843716473293
498072000,-99.4978357005333
498076000,-99.2338600415358
498080000,-99.6173148151862
498084000,-99.0465625074951
498088000,-99.2697863234608
498092000,-99.4374342102854
498096000,-99.4619146210676
498100000,-99.510185186753
498104000,-99.3416299682636
498108000,-99.2623178239592
498112000,-99.4125532707167
498116000,-99.1395013835617
498120000,-99.3411527938612
498124000,-99.3461544725439
498128000,-99.5295483925017
498132000,-99.0549232247133
498136000,-99.0818800028328
498140000,-98.9824365210743
498144000,-99.576580189888
498148000,-99.2436191937978
498152000,-99.5440534998864
498156000,-99.2520162355527
498160000,-99.2160646922306
498164000,-99.1377026134256
498168000,-99.1802832736352
498172000,-99.5554482346066
498176000,-99.3320734985595
498180000,-99.2558403354067
498184000,-99.3376010675524
498188000,-99.2079356998677
498192000,-99.2848153951977
498196000,-99.293362559057
498200000,-99.2646152634541
498204000,-99.5097651353153
498208000,-99.4418644123196
498212000,-99.1839505916361
498216000,-99.2542312919916
498220000,-99.1565197987134
498224000,-99.0933340918865
498228000,-99.1384811084605
498232000,-99.2112522723744
498236000,-99.0246994508043
498240000,-99.313276597378
498244000,-99.2265073328752
498248000,-99.4034808017982
498252000,-99.4304333740433
498256000,-99.4955608898729
498260000,-99.5742296873493
498264000,-98.8372289901344
498268000,-99.3460356486501
498272000,-99.2026000138676
498276000,-99.3797282305579
498280000,-99.2424854983547
498284000,-99.4659457158021
498288000,-99.5052507857204
498292000,-99.3254666428705
498296000,-99.8180522058039
498300000,-99.2377424012217
498304000,-99.8543708297038
498308000,-99.5947264966551
498312000,-99.4304771366593
498316000,-99.0304683904522
498320000,-98.7923861987801
498324000,-99.3684813285727
498328000,-99.6530472836937
498332000,-99.1006781883233
498336000,-99.6034559254266
498340000,-99.3080355685758
498344000,-99.5347449497513
498348000,-99.3925117378323
498352000,-99.239731791322
498356000,-99.3922264668624
498360000,-99.623415663239
498364000,-99.8105600964543
498368000,-98.9710495779436
498372000,-99.0243496489098
498376000,-99.0576808853699
498380000,-99.0850712681642
498384000,-99.1547190291436
498388000,-99.6004938872633
498392000,-99.5339287297522
498396000,-98.9938683152191
498400000,-98.9502952763854
498404000,-99.3492551207739
498408000,-99.3299878248524
498412000,-99.5618289731873
498416000,-99.3268126097395
498420000,-99.3707790097665
498424000,-99.2933884204776
498428000,-99.2646972936423
498432000,-99.4854200608361
498436000,-98.6468793741229
498440000,-99.3931939246593
498444000,-99.4398536311613
498448000,-99.0297987948185
498452000,-98.7001930045519
498456000,-99.21712004869
498460000,-99.6137205455795
498464000,-99.5312257822833
498468000,-99.2291084170076
498472000,-99.2691846372912
498476000,-99.2828893624106
498480000,-99.4726730590279
498484000,-99.1845953590559
498488000,-99.5604926638422
498492000,-99.192934429262
498496000,-98.75279799721
498500000,-99.1066095541936
498504000,-99.2715694338563
498508000,-99.2200909139687
498512000,-99.5176475652585
498516000,-98.9835533605773
498520000,-99.6649213183399
498524000,-99.1359683768492
498528000,-99.7775410532461
498532000,-99.3670350727046
498536000,-99.7097402129829
498540000,-99.5476637280066
498544000,-99.6340692103977
498548000,-99.4664563660622
498552000,-99.2247328903126
498556000,-99.0547309420561
498560000,-99.4886474688174
498564000,-99.4758203059401
498568000,-99.4243663903371
498572000,-99.3493404218757
498576000,-99.338323062038
498580000,-99.286283174469
498584000,-99.1635650399448
498588000,-99.2174506652216
498592000,-99.7058062748802
498596000,-99.4908005793348
498600000,-99.4568585535093
498604000,-99.1485533671074
498608000,-99.4847109494723
498612000,-99.5066206729604
498616000,-99.0326915314946
498620000,-99.1988877141691
498624000,-99.086189728804
498628000,-98.9493179350689
498632000,-99.2686061161821
498636000,-98.9740543420078
498640000,-99.1582810057368
498644000,-98.7922322446643
498648000,-99.2397306914028
498652000,-98.9950847359588
498656000,-99.0256875622573
498660000,-99.5198506806358
498664000,-99.4531943624349
498668000,-98.6375001221846
498672000,-99.0538976881912
